Крик,https://kinokrad.co/359945-krik-2022-01-31.html,Год: 2022,"Жанр: ужасы, триллер, детектив","Режиссер: Мэттью Беттинелли, Тайлер Джиллетт",Длительность: 114 мин.
Опасная вечеринка,https://kinokrad.co/361322-opasnaya-vechirinka.html,Год: 2022,"Жанр: ужасы, драма",Режиссер: Рут Пэкстон,Длительность: 97 мин.
Техасская резня бензопилой,https://kinokrad.co/361169-tehasskaya-reznia-benzopiloy.html,Год: 2022,Жанр: ужасы,Режиссер: Дэвид Блу Гарсиа,Длительность: 81 мин.
Ведьмак (2 сезон),https://kinokrad.co/359675-vedmak-2-sezon-2021-12.html,Год: 2021,"Жанр: фэнтези, приключения, драма, ужасы","Режиссер: Алик Сахаров, Шарлотта Брандстром",Длительность: 60 мин.
Паранормальные,https://kinokrad.co/359387-paranormalnie-2022.html,Год: 2022,"Жанр: ужасы, триллер, драма",Режиссер: Эскиль Вогт,Длительность: 117 мин.
Военная охота,https://kinokrad.co/360668-voennaya-ohota.html,Год: 2022,"Жанр: ужасы, боевик, триллер",Режиссер: Мауро Боррелли,Длительность: 92 мин.
Нэнси Дрю (3 сезон),https://kinokrad.co/358604-nensi-drue-3-sezon.html,Год: 2021,"Жанр: ужасы, фэнтези, драма, детектив","Режиссер: Ларри Тенг, Аманда Роу, Рубен Гарсиа",Длительность: 44 мин
Семейка Аддамс: Горящий тур,https://kinokrad.co/358382-semeyka-addams-goriashiy-tur-2022-04-05.html,Год: 2021,"Жанр: мультфильм, ужасы, фэнтези, комедия, приключения, семейный","Режиссер: Грег Тирнан, Конрад Вернон, Лаура Бруссо",Длительность: 93 мин.
Монстр: Начало,https://kinokrad.co/360482-monstr-nachalo.html,Год: 2021,"Жанр: ужасы, триллер, драма",Режиссер: Дэниэл Фаррандс,Длительность: 86 мин.
Джиперс Криперс: Возрожденный,https://kinokrad.co/360503-djipers-kripers-novorojdenniy-vozrogdenie.html,Год: 2022,"Жанр: ужасы, триллер, детектив",Режиссер: Тимо Вуоренсола,Длительность: 88 мин.
Шкатулка дьявола: Пробуждение зла,https://kinokrad.co/360443-shkatulka-dyavola-probujdenie-zla.html,Год: 2022,Жанр: ужасы,Режиссер: Лоуренс Фаулер,Длительность: 93 мин.
