Classic Editor,https://wordpress.org/plugins/classic-editor/,1062
Akismet Spam Protection,https://wordpress.org/plugins/akismet/,934
"Jetpack – WP Security, Backup, Speed, & Growth",https://wordpress.org/plugins/jetpack/,1755
Classic Widgets,https://wordpress.org/plugins/classic-widgets/,206
Classic Editor,https://wordpress.org/plugins/classic-editor/,1062
Akismet Spam Protection,https://wordpress.org/plugins/akismet/,934
"Jetpack – WP Security, Backup, Speed, & Growth",https://wordpress.org/plugins/jetpack/,1755
Classic Widgets,https://wordpress.org/plugins/classic-widgets/,206
